wikidata,label
Q7767432,"The Sunny South, Or The Whirlwind Of Fate (Rolfe, 1915)"
Q117457091,My Partner (1915)
Q7759738,"The Rebel (Mathews, 1915)"
Q7739495,"The Hero Of The Dardanelles (Rolfe, 1915)"
Q13422558,"Within Our Gates, Or Deeds That Won Gallipoli (Harvey, 1915)"
Q7749124,"The Loyal Rebel (Rolfe, 1915)"
Q5466672,"For Australia (Luke, 1915)"
Q5918188,"How We Beat The Emden (Rolfe, 1915)"
Q4658119,"A Maori Maid's Love (Longford, 1916)"
Q8028194,"Within The Law (Luke, 1916)"
Q151588,"Get-Rich-Quick Wallingford (Niblo, 1916)"
Q7750470,"The Martyrdom Of Nurse Cavell (Gavin/Mason, 1916)"
Q7070190,"Nurse Cavell (Lincoln, 1916)"
Q7079442,"Officer 666 (Niblo, 1916)"
Q15039606,"La Revanche (Lincoln, 1916)"
Q15039602,"Murphy Of Anzac (Mathews, 1916)"
Q7743312,"The Joan Of Arc Of Loos (Willoughby, 1916)"
Q6012411,"In The Last Stride (Keith, 1916)"
Q7457302,"Seven Keys To Baldpate (Luke, 1916)"
Q5991074,"If The Huns Came To Melbourne (Coates, 1916)"
Q7775547,"The Woman In The Case (Willoughby, 1916)"
Q10381639,"The Mutiny Of The Bounty (Longford, 1916)"
Q7747107,"The Life's Romance Of Adam Lindsay Gordon (Lincoln, 1916)"
Q7757231,"The Pioneers (Barrett, 1916)"
Q7312069,"Remorse, A Story Of The Red Plague (Mathews, 1917)"
Q7752674,"The Murder Of Captain Fryatt (Gavin, 1917)"
Q7110641,"Our Friends, The Hayseeds (Smith, 1917)"
Q4823511,"Australia's Peril (Barrett, 1917)"
Q7739087,"The Hayseeds Come To Sydney (Smith, 1917)"
Q7752031,"The Monk And The Woman (Barrett, 1917)"
Q7722865,"The Church And The Woman (Longford, 1917)"
Q7739085,"The Hayseeds' Back-Blocks Show (Smith, 1917)"
Q4656099,"A Coo-ee From Home (Woods, 1918)"
Q7739086,"The Hayseeds' Melbourne Cup (Smith, 1918)"
Q5771948,"His Convict Bride (Gavin, 1918)"
Q7746352,"The Laugh On Dad (Tinsdale, 1918)"
Q15039590,"The Enemy Within (Stavely, 1918)"
Q15039609,"The Woman Suffers (Longford, 1918)"
Q15039610,"Yachts And Hearts, Or The Opium Smugglers (Coates, 1918)"
Q15039608,"The Waybacks (Sterry, 1918)"
Q5772164,"His Only Chance (Shortland, 1918)"
Q5194504,"Cupid Camouflaged (Rolfe, 1918)"
Q7425905,"Satan In Sydney (Smith, 1918)"
Q6316299,"Just Peggy (Lipman, 1918)"
Q4724215,"Algie's Romance (Doogood, 1918)"
Q4659263,"A Romance Of The Burke And Wills Expedition Of 1860 (Coates, 1918)"
Q7749194,"The Lure Of The Bush (Flemming, 1918)"
Q7430526,"Scars Of Love (McColl, 1918)"
Q7991121,"What Happened To Jean (Walsh, 1918)"
Q8084057,"£500 Reward (Flemming, 1918)"
Q4823509,"Australia's Own (Ward, 1919)"
Q5263931,"Desert Gold (Smith, 1919)"
Q5288109,Does The Jazz Lead To Destruction? (1919)
Q4864065,"Barry Butts In (Smith, 1919)"
Q3989208,"The Sentimental Bloke (Longford, 1919)"
Q7624973,"Struck Oil (Barrett, 1919)"
Q7733022,"The Face At The Window (Villiers, 1919)"
Q7750037,"The Man From Kangaroo (Lucas, 1920)"
Q3764507,"Ginger Mick (Longford, 1920)"
Q15039594,"The Kelly Gang (Southwell, 1920)"
Q7763563,"The Shadow Of Lightning Ridge (Lucas, 1920)"
Q7719923,"The Breaking Of The Drought (Barrett, 1920)"
Q7091100,"On Our Selection (Longford, 1920)"
Q7750059,"The Man From Snowy River (Smith/Wells, 1920)"
Q7340828,"Robbery Under Arms (Brampton, 1920)"
Q7742854,"The Jackeroo Of Coolabong (Lucas, 1920)"
Q7740276,"The Hordern Mystery (Southwell, 1920)"
Q7233444,"'Possum Paddock (Villiers/Howarde, 1921)"
Q7515270,"Silks And Saddles (Wells, 1921)"
Q16953737,"The Betrayer (Smith, 1921)"
Q4657048,"A Girl Of The Bush (Barrett, 1921)"
Q7376827,"Rudd's New Selection (Longford, 1921)"
Q7738566,"The Guyra Ghost Mystery (Cosgrove, 1921)"
Q6786365,"Mated In The Wilds (Ramster, 1921)"
Q7993637,"While The Billy Boils (Smith, 1921)"
Q6423167,"Know Thy Child (Barrett, 1921)"
Q7316938,"Retribution (Lionello, 1921)"
Q7718807,"The Blue Mountains Mystery (Longford/Lyell, 1921)"
Q7747138,"The Life Story Of John Lee, Or The Man They Could Not Hang (Sterry, 1921)"
Q7736132,"The Gentleman Bushranger (Smith, 1921)"
Q5121763,"Circumstance (Harris, 1922)"
Q7770288,"The Triumph Of Love (Ramster, 1922)"
Q4659285,"A Rough Passage (Barrett, 1922)"
Q4656275,"A Daughter Of Australia (Harris, 1922)"
Q5328902,"East Lynne (Hardy, 1922)"
Q7641562,"Sunshine Sally (Harris, 1922)"
Q7749197,"The Lust For Gold (Darling, 1922)"
Q7730217,"The Dinkum Bloke (Longford, 1923)"
Q7730210,"The Dingo (Brampton, 1923)"
Q7770885,"The Twins (McCallum, 1923)"
Q7830132,"Townies And Hayseeds (Smith, 1923)"
Q7992991,"When The Kellys Were Out (Southwell, 1923)"
Q7502679,"Should A Doctor Tell? (Ramster, 1923)"
Q4823566,"Australia Calls (Longford, 1923)"
Q7239930,"Prehistoric Hayseeds (Smith, 1923)"
Q7730168,"The Digger Earl (Smith, 1924)"
Q5297296,"Dope (Webb, 1924)"
Q6208254,"Joe (Smith, 1924)"
Q5227922,"Daughter Of The East (Darling, 1924)"
Q5454722,"Fisher's Ghost (Longford, 1924)"
Q7758123,"The Price (Webb, 1924)"
Q7760482,"The Rev. Dell's Secret (Ramster, 1924)"
Q5917986,"How Mcdougall Topped The Score (Brown, 1924)"
Q5936100,"Hullo Marmaduke (Smith, 1924)"
Q7752899,"The Mystery Of A Hansom Cab (Shirley, 1925)"
Q7125003,"Painted Daughters (Stuart-Whyte, 1925)"
Q7712490,"The Adventures Of Algy (Smith, 1925)"
Q7720732,"The Bushwhackers (Longford, 1925)"
Q7796847,"Those Terrible Twins (Ward, 1925)"
Q4795621,"Around The Boree Log (Walsh, 1925)"
Q6189574,"Jewelled Nights (Lovely/Welch, 1925)"
Q7752407,"The Moth Of Moonbi (Chauvel, 1926)"
Q7768481,"The Tenth Straw (Mcanderson, 1926)"
Q7659804,"Sydney's Darlings (Marinato, 1926)"
Q7177495,"Peter Vernon's Silence (Longford, 1926)"
Q15039607,"Should A Girl Propose? (Ramster, 1926)"
Q15039742,"The Jungle Woman (Hurley, 1926)"
Q15039604,"The Pioneers (Longford, 1926)"
Q7762815,"The Sealed Room (Shirley, 1926)"
Q7679979,"Tall Timber (Webb, 1926)"
Q14156944,"Sunrise (Stuart-Whyte/Longford, 1926)"
Q7740465,"The Hound Of The Deep (Hurley, 1926)"
Q5604098,"Greenhide (Chauvel, 1926)"
Q7796876,"Those Who Love (Ramster/Mcdonagh, 1926)"
Q5763506,"Hills Of Hate (Longford, 1926)"
Q5302881,"Down Under (Southwell, 1927)"
Q7744230,"The Kid Stakes (Ordell, 1927)"
Q5467144,"For The Term Of His Natural Life (Dawn, 1927)"
Q5381006,"Environment (Hayle, 1927)"
Q7761876,"The Rushing Tide (Hayle, 1927)"
Q7749934,"The Man Who Forgot (Harwood, 1927)"
Q7751550,"The Miner's Daughter (Forbert, 1927)"
Q7761404,"The Romance Of Runnibede (Dunlap, 1928)"
Q7763706,"The Shattered Illusion (Harbrow, 1928)"
Q7751005,"The Menace (Sharpe, 1928)"
Q7765936,"The Spirit Of Gallipoli (Gategood/Green, 1928)"
Q7845565,"Trooper O'Brien (Gavin, 1928)"
Q7712405,"The Adorable Outcast (Dawn, 1928)"
Q5054462,"Caught In The Net (Marshall, 1928)"
Q7733414,"The Far Paradise (Mcdonagh, 1928)"
Q7738274,"The Grey Glove (Webb, 1928)"
Q7718132,"The Birth Of White Australia (Walsh, 1928)"
Q7732846,"The Exploits Of The Emden (Hall, 1928)"
Q3989113,"The Russell Affair (Ramster, 1928)"
Q7077531,"Odds On (Higgins, 1928)"
Q7729942,"The Devil's Playground (Bindley, 1928)"
Q7744639,"The Kingdom Of Twilight (Macdonald, 1929)"
Q7801422,"Tiger Island (Hayle, 1930)"
Q7722268,"The Cheaters (Mcdonagh, 1930)"
Q5442455,"Fellers (Higgins/Fay, 1930)"
Q7581550,"Spur Of The Moment (Harwood, 1931)"
Q6083930,"Isle Of Intrigue (Harwood, 1931)"
Q5275641,"Diggers (Thring, 1931)"
Q7503239,"Showsgirl's Luck (Dawn, 1931)"
Q7763311,"The Sentimental Bloke (Thring, 1932)"
Q7091101,"On Our Selection (Hall, 1932)"
Q5772181,"His Royal Highness (Thring, 1932)"
Q5275649,"Diggers In Blighty (Hanna, 1933)"
Q5659602,"Harmony Row (Thring, 1933)"
Q3149754,"In The Wake Of The Bounty (Chauvel, 1933)"
Q7766105,"The Squatter's Daughter (Hall, 1933)"
Q7859110,"Two Minutes Silence (Mcdonagh, 1933)"
Q7966850,"Waltzing Matilda (Hanna, 1933)"
Q7739084,"The Hayseeds (Smith, 1933)"
Q4660128,"A Ticket In Tatts (Thring, 1934)"
Q15039747,"Secret Of The Skies (Harwood, 1934)"
Q7764196,"The Silence Of Dean Maitland (Hall, 1934)"
Q7749894,"The Man They Could Not Hang (Longford, 1934)"
Q7992989,"When The Kellys Rode (Southwell, 1934)"
Q5125989,"Clara Gibbings (Thring, 1934)"
Q7623787,"Strike Me Lucky (Hall, 1934)"
Q7578451,"Splendid Fellows (Smith, 1934)"
Q7767008,"The Streets Of London (Thring, 1934)"
Q5595279,"Grandad Rudd (Hall, 1935)"
Q5738637,"Heritage (Chauvel, 1935)"
Q7720639,"The Burgomeister (Southwell, 1935)"
Q7796630,"Thoroughbred (Hall, 1936)"
Q7734577,"The Flying Doctor (Mander, 1936)"
Q7882671,"Uncivilised (Chauvel, 1936)"
Q7994637,"White Death (Bowen, 1936)"
Q7103933,"Orphan Of The Wilderness (Hall, 1936)"
Q7292876,"Rangle River (Badger, 1936)"
Q6091875,"It Isn't Done (Hall, 1937)"
Q6948844,"Mystery Island (Lipman, 1937)"
Q7180562,"Phantom Gold (Kathner, 1937)"
Q7679985,"Tall Timbers (Hall, 1937)"
Q7715011,"The Avenger (Harwood, 1937)"
Q6692460,"Lovers And Luggers (Hall, 1937)"
Q12104370,"The Broken Melody (Hall, 1938)"
Q6532660,"Let George Do It (Hall, 1938)"
Q7502936,"Show Business (Harwood, 1938)"
Q7861333,"Typhoon Treasure (Monkman, 1938)"
Q5207859,"Dad And Dave Come To Town (Hall, 1938)"
Q12102124,"Below The Surface (Kathner, 1938)"
Q6928519,"Mr Chedworth Steps Out (Hall, 1939)"
Q5581634,"Gone To The Dogs (Hall, 1939)"
Q5151292,"Come Up Smiling (Freshman, 1939)"
Q7457324,"Seven Little Australians (Collins, 1939)"
Q5207855,"Dad Rudd, M.P. (Hall, 1940)"
Q8025290,"Wings Of Destiny (Kathner, 1940)"
Q5472997,"Forty Thousand Horsemen (Chauvel, 1940)"
Q7711150,"That Certain Something (Badger, 1941)"
Q7757927,"The Power And The Glory (Monkman, 1941)"
Q7279685,"Racing Luck (Kathner, 1941)"
Q4660844,"A Yank In Australia (Goulding, 1942)"
Q3522429,"The Rats Of Tobruk (Chauvel, 1944)"
Q7305051,"Red Sky At Morning (Arthur, 1944)"
