item,title,director,year
124,Nurse Cavell,W. J. Lincoln,1916
124,Edith Cavell,W. J. Lincoln,1916
125,Officer 666,Fred Niblo,1916
126,La Revanche,W. J. Lincoln,1916
127,Murphy Of Anzac,J. E. Mathews,1916
128,The Joan Of Arc Of Loos,George Willoughby,1916
129,In The Last Stride,Martyn Keith,1916
130,Seven Keys To Baldpate,Monte Luke,1916
131,If The Huns Came To Melbourne,George Coates,1916
132,The Woman In The Case,George Willoughby,1916
133,The Mutiny Of The Bounty,Raymond Longford,1916
134,The Life's Romance Of Adam Lindsay Gordon,W. J. Lincoln,1916
135,The Pioneers,Franklyn Barrett,1916
136,"Remorse, A Story Of The Red Plague",J. E. Mathews,1917
137,The Murder Of Captain Fryatt,John Gavin,1917
138,"Our Friends, The Hayseeds",Beaumont Smith,1917
138,The Hayseeds,Beaumont Smith,1917
139,Australia's Peril,Franklyn Barrett,1917
140,The Hayseeds Come To Sydney,Beaumont Smith,1917
140,The Hayseeds Come To Town,Beaumont Smith,1917
141,The Monk And The Woman,Franklyn Barrett,1917
142,The Church And The Woman,Raymond Longford,1917
143,The Hayseeds' Back-Blocks Show,Beaumont Smith,1917
144,A Coo-ee From Home,Charles Woods,1918
145,The Hayseeds' Melbourne Cup,Beaumont Smith,1918
146,His Convict Bride,John Gavin,1918
147,The Laugh On Dad,A. C. Tinsdale,1918
148,The Enemy Within,Roland Stavely,1918
149,The Woman Suffers,Raymond Longford,1918
150,"Yachts And Hearts, Or The Opium Smugglers",Charles Byers Coates,1918
151,The Waybacks,Arthur W. Sterry,1918
152,His Only Chance,Dick Shortland,1918
153,Cupid Camouflaged,Alfred Rolfe,1918
154,Satan In Sydney,Beaumont Smith,1918
155,Just Peggy,J. A. Lipman,1918
156,Algie's Romance,Leonard Doogood,1918
157,A Romance Of The Burke And Wills Expedition Of 1860,Charles Byers Coates,1918
158,The Lure Of The Bush,Claude Flemming,1918
159,Scars Of Love,Walter S. McColl,1918
