wikibase,wikidata
Q242,Q5381006
Q23,Q7797855
Q20,Q7737123
Q61,Q5519668
Q71,Q7754682
Q76,Q7623764
Q28,Q3882498
Q69,Q3602421
Q34,Q3602796
Q89,Q3989638
Q48,Q3986351
Q68,Q3783012
Q75,Q5161258
Q18,Q3602786
Q86,Q3990118
Q414,Q5151242
Q380,Q5245148
Q395,Q4942103
Q3,Q20649328
Q302,Q12104370
Q303,Q6532660
Q322,Q12127551
Q301,Q6692460
Q308,Q6928519
Q309,Q5581634
Q299,Q7679985
Q306,Q5207859
Q312,Q5207855
Q287,Q5595279
Q274,Q7766105
Q280,Q7764196
Q290,Q7796630
Q284,Q7623787
Q256,Q7732846
Q294,Q7103933
Q269,Q7091101
Q296,Q6091875
Q181,Q7233444
Q202,Q7730210
Q178,Q7340828
Q58,Q5308076
Q66,Q4762335
Q441,Q16963692
Q230,Q15039742
Q235,Q7740465
Q130,Q7743312
Q134,Q7775547
Q459,Q7270879
Q32,Q7451202
Q21,Q5001566
Q25,Q7766108
Q360,Q5129821
Q379,Q4900017
Q124,Q151588
Q127,Q7079442
Q189,Q6423167
Q52,Q4729949
Q143,Q7752031
Q96,Q4655524
Q59,Q7722714
Q137,Q7757231
Q184,Q4657048
Q97,Q7747217
Q169,Q7624973
Q175,Q7719923
Q141,Q4823511
Q196,Q4659285
Q84,Q4659518
Q473,Q7764395
Q345,Q7962022
Q372,Q7742391
Q339,Q7756849
Q340,Q6412332
Q351,Q5317009
Q349,Q3225286
Q475,Q7757054
Q388,Q7028273
Q404,Q7641656
Q461,Q3520601
Q282,Q7992989
Q239,Q5302881
Q173,Q15039594
Q180,Q7740276
Q289,Q7720639
Q205,Q7992991
Q357,Q1198545
Q348,Q7340832
Q197,Q4656275
Q199,Q7641562
Q194,Q5121763
Q108,Q7439874
Q131,Q6012411
Q171,Q7750037
Q179,Q7742854
Q200,Q7749197
Q212,Q5227922
Q328,Q7624500
Q311,Q7457324
Q156,Q7425905
Q211,Q6208254
Q204,Q7830132
Q277,Q7739084
Q167,Q4864065
Q209,Q7730168
Q140,Q7110641
Q145,Q7739085
Q208,Q7239930
Q165,Q5263931
Q142,Q7739087
Q147,Q7739086
Q217,Q5936100
Q183,Q16953737
Q177,Q7750059
Q188,Q7993637
Q220,Q7712490
Q285,Q7578451
Q263,Q5442455
Q258,Q7077531
Q413,Q5293358
Q389,Q5256327
Q121,Q5918188
Q119,Q7749124
Q85,Q8031696
Q57,Q5023176
Q56,Q7728410
Q81,Q7722263
Q50,Q7991439
Q87,Q7997675
Q47,Q6786661
Q46,Q15039592
Q45,Q7745142
Q114,Q7767432
Q62,Q7751549
Q88,Q7751906
Q63,Q6412331
Q14,Q5036733
Q155,Q5194504
Q33,Q15039595
Q38,Q6908063
Q49,Q7975793
Q65,Q7764377
Q17,Q5036807
Q72,Q5166839
Q70,Q7728064
Q117,Q7739495
Q113,Q7729142
Q64,Q5286136
Q77,Q7748987
Q418,Q6927077
Q485,Q4929113
Q153,Q15039608
Q192,Q7747138
Q218,Q7752899
Q232,Q7762815
Q439,Q7261128
Q416,Q5211523
Q352,Q3201772
Q476,Q4839718
Q432,Q12129827
Q458,Q5434158
