dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q534,Clarence Badger,Q315,That Certain Something,Q4722398,Alfred C. Abadie,60,,,0
Q534,Clarence Badger,Q295,Rangle River,Q4722398,Alfred C. Abadie,60,,,0
Q534,Clarence Badger,Q315,That Certain Something,Q514913,Lawrence Bender,80,,,0
Q534,Clarence Badger,Q295,Rangle River,Q514913,Lawrence Bender,80,,,0
Q534,Clarence Badger,Q315,That Certain Something,Q601712,Florence Auer,71,,,0
Q534,Clarence Badger,Q295,Rangle River,Q601712,Florence Auer,71,,,0
Q534,Clarence Badger,Q315,That Certain Something,Q17483990,E. Lawrence Lee,62,,,0
Q534,Clarence Badger,Q295,Rangle River,Q17483990,E. Lawrence Lee,62,,,0
Q534,Clarence Badger,Q315,That Certain Something,Q3073941,Florence Barker,73,,,0
Q534,Clarence Badger,Q295,Rangle River,Q3073941,Florence Barker,73,,,0
Q534,Clarence Badger,Q315,That Certain Something,Q2368238,Florence La Badie,69,,,0
Q534,Clarence Badger,Q295,Rangle River,Q2368238,Florence La Badie,69,,,0
Q534,Clarence Badger,Q315,That Certain Something,Q12300207,Aage Lorentzen,62,,,0
Q534,Clarence Badger,Q295,Rangle River,Q12300207,Aage Lorentzen,62,,,0
Q534,Clarence Badger,Q315,That Certain Something,Q2905958,Blanche Albane,62,,,0
Q534,Clarence Badger,Q295,Rangle River,Q2905958,Blanche Albane,62,,,0
Q534,Clarence Badger,Q315,That Certain Something,Q3129594,Helen Badgley,64,,,0
Q534,Clarence Badger,Q295,Rangle River,Q3129594,Helen Badgley,64,,,0
Q534,Clarence Badger,Q315,That Certain Something,Q18580654,Edmund Lawrence,60,,,0
Q534,Clarence Badger,Q295,Rangle River,Q18580654,Edmund Lawrence,60,,,0
Q534,Clarence Badger,Q315,That Certain Something,Q3564545,W. E. Lawrence,67,,,0
Q534,Clarence Badger,Q295,Rangle River,Q3564545,W. E. Lawrence,67,Q5374721,Empty Saddles,24
Q534,Clarence Badger,Q315,That Certain Something,Q12300728,Agnes Lorentzen,60,,,0
