dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q575,Giorgio Mangiamele,Q360,Clay,Q12308846,Doris Langkilde,61,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q12308846,Doris Langkilde,61,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q18223867,Giorgio Maggi,77,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q18223867,Giorgio Maggi,77,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q1764618,George Magrill,62,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q1764618,George Magrill,62,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q273402,Georgia Hale,60,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q273402,Georgia Hale,60,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q4286534,Georgi Mdivani,62,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q4286534,Georgi Mdivani,62,Q2712854,Girasoli,38
Q575,Giorgio Mangiamele,Q360,Clay,Q1010090,Giorgio Simonelli,69,Q3715997,Due mafiosi contro Goldginger,18
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q1010090,Giorgio Simonelli,69,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q17635072,Michael Gordon,62,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q17635072,Michael Gordon,62,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q4104594,Georgi Vasilyev,61,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q4104594,Georgi Vasilyev,61,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q12706,Maxim Gorki,62,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q12706,Maxim Gorki,62,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q508182,Michael Gordon,62,Q375156,Very Special Favor,27
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q508182,Michael Gordon,62,Q3899530,How Do I Love Thee?,19
Q575,Giorgio Mangiamele,Q360,Clay,Q68329880,George Manuell,62,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q68329880,George Manuell,62,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q5563487,Giorgio Mangiamele,100,Q5129821,Clay,100
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q5563487,Giorgio Mangiamele,100,Q4900017,Beyond Reason,100
Q575,Giorgio Mangiamele,Q360,Clay,Q3769736,Giulio Panicali,61,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q3769736,Giulio Panicali,61,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q697591,Giorgio Pàstina,62,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q697591,Giorgio Pàstina,62,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q3106908,Giorgio Moser,65,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q3106908,Giorgio Moser,65,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q19361282,Gloria Mange,67,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q19361282,Gloria Mange,67,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q1525553,Giorgio Stegani,67,Q3820710,Celestina P... R...,35
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q1525553,Giorgio Stegani,67,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q457572,Giorgia Moll,60,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q457572,Giorgia Moll,60,Q13103735,Ladro di crimini,34
Q575,Giorgio Mangiamele,Q360,Clay,Q515997,Mariangela Giordano,65,Q4004465,Una vergine per il principe,13
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q515997,Mariangela Giordano,65,Q3791207,Quattro del pater noster,32
Q575,Giorgio Mangiamele,Q360,Clay,Q521295,Giorgi Shengelaia,63,Q4202341,Иные нынче времена (фильм),0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q521295,Giorgi Shengelaia,63,Q3389184,Pirosmani (film),30
Q575,Giorgio Mangiamele,Q360,Clay,Q1525109,Gino Mangini,60,Q5433840,I criminali della metropoli,19
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q1525109,Gino Mangini,60,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q3765652,Giorgio Papi,67,Q76479,Tay súng bá vàng,24
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q3765652,Giorgio Papi,67,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q20723746,Giorgio Salvioni,65,Q1171757,La decima vittima,29
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q20723746,Giorgio Salvioni,65,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q3765669,Giorgio Piazza,62,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q3765669,Giorgio Piazza,62,Q3955552,Senza sapere niente di lei,36
Q575,Giorgio Mangiamele,Q360,Clay,Q4290346,Georgy Menglet,62,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q4290346,Georgy Menglet,62,Q4521731,Швейк во Второй мировой войне,5
Q575,Giorgio Mangiamele,Q360,Clay,Q2779402,Michael Gordon,62,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q2779402,Michael Gordon,62,Q2789885,Niklashausen Journey,36
Q575,Giorgio Mangiamele,Q360,Clay,Q1525498,Giorgio Mariuzzo,65,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q1525498,Giorgio Mariuzzo,65,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q16745067,Tony Giorgio,60,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q16745067,Tony Giorgio,60,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q3291288,Marianne Borgo,62,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q3291288,Marianne Borgo,62,Q3233094,Les Gros malins,36
Q575,Giorgio Mangiamele,Q360,Clay,Q3856170,Michael Gornick,61,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q3856170,Michael Gornick,61,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q3763554,Gianni Manganelli,63,,,0
Q575,Giorgio Mangiamele,Q379,Beyond Reason,Q3763554,Gianni Manganelli,63,,,0
Q575,Giorgio Mangiamele,Q360,Clay,Q3765504,Giorgio Gobbi,65,,,0
