dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q134062,Walter R. Booth,67,Q16977614,The Miser's Doom,59
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q1621558,Hobart Bosworth,71,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q6027890,Robert Olsson,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q957475,Herbert Brenon,74,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q3051557,Elmer Booth,75,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q83555,Herbert Blaché,77,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q21207390,Robert Brower,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q3938213,Robert Bolder,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q18814500,Albert Egbert,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q3047645,Edith Roberts,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q4939552,Harriet Bloch,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q1352525,Herbert Beerbohm Tree,65,Q1742045,King John,20
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q27063028,Mary Booth,61,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q16007008,Robert Gordon,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q633219,Robert Gordon,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q5722884,Henry Herbert,69,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q5298262,Dorothea Wolbert,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q508875,Margaret Booth,67,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q15997768,Herbert Fortier,71,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q2560889,Werner Bohne,64,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q3434625,Robert Boudrioz,64,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q99344,Valerie Boothby,64,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q17270045,Robert North,72,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q3938389,Robert North,72,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q6240474,John Hunter Booth,60,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q4352362,A. P. Herbert,67,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q7343080,Robert Coogan,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q101607,Herbert Hübner,69,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q827304,Bert Bates,61,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q16026139,Herbert Bunston,71,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q556990,Robert Barrat,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q5734023,Herbert Evans,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q3435956,Robert Moor,67,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q116983,Robert Donat,64,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q1385393,Robert Keith,64,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q1608323,Herbert Gernot,74,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q22209870,Hubert Bourlon,67,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q65019,Herbert Eulenberg,60,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q7344862,Robert Gordon,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q7341609,Robert Arthur,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q254468,Herbert Biberman,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q279068,Ritz Brothers,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q5298630,Dorothy Short,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q17086677,Bob Roberts,67,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q100990,Herbert A.E. Böhme,69,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q1486368,Robert Coote,72,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q21664315,Herbert Corthell,76,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q1633060,Hubert Bath,75,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q1722867,Robert Pirosh,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q3182406,Herbert Asbury,67,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q15436531,Herbert Dirmoser,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q1747504,Robert Forsch,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q2228583,Herbert Anderson,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q3435697,Robert Le Fort,67,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q16625625,Roberto Bordoni,64,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q634574,Robert Beatty,62,,,0
Q581,Herbert Booth,Q3,Soldiers Of The Cross,Q3435693,Robert Le Béal,62,,,0
