dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q710601,Arthur Melbourne-Cooper,63,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q2865244,Arthur Marvin,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q35610,Arthur Conan Doyle,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q459580,Claire McDowell,60,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q3624290,Arthur Mackley,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4798060,Arthur Bourchier,65,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q2865156,Arthur Housman,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4798486,Arthur Donaldson,65,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q15069982,Blanche Cornwall,65,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q708870,Arthur Charles Miller,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q2865325,Arthur Rosson,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q2333177,Arthur Hotaling,60,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q108630,Arthur Wellin,79,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q44331,Arthur Schnitzler,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q710106,Arthur Kahane,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q2400001,Arthur Tavares,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q3624308,Arthur Ripley,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q1421566,Arthur Hoyt,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q329613,Arthur Hill,69,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q209084,Arthur Edeson,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q6669082,Arthur Ellery,71,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4798246,Arthur Chesney,69,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q1751735,Paul Powell,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4800277,Arthur Shirley,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q615953,Arthur Wontner,69,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q708647,Arthur Bernède,71,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q2864993,Arthur Berthelet,65,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q119650,Arthur Schröder,69,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q74553,Arthur Robison,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q1903079,Martha Novelly,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4798367,Arthur Cullin,71,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q21664092,Arthur Martinelli,75,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4800166,Arthur Rooke,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q5565955,Arthur Barking,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q87283,Arthur Bergen,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q1606448,Henry Arthur Jones,61,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q351838,Arthur Kennedy,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4800426,Arthur Tauchert,60,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4798566,Arthur Edmund Carewe,63,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q605989,Arthur B. Reeve,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4800589,Arthur Walcott,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4800383,Arthur Stringer,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4799124,Arthur Hopkins,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q610539,Arthur Weigall,76,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q3101687,George K. Arthur,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q100295,Arthur Kraußneck,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q3624306,Arthur Rankin,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4303218,Arthur Morrison,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4799097,Arthur Hoerl,74,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4983192,Astri Torsell,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4798280,Arthur Cleave,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q107531,Arthur von Gerlach,61,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q3617936,Anne Cornwall,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q6209068,Arthur Thorell,83,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4799246,Arthur Jasmine,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q229338,Jean Arthur,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4800101,Arthur Reeves,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q66763857,Arthur H. Sawyer,60,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4799728,Arthur Millett,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q6266258,Johnny Arthur,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q710059,Arthur Johns,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q17621709,Arturo Forte,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q19868192,Arthur Stone,74,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q52162294,Arthur Gregor,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q21192228,Arthur Varney,71,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q2865317,Arthur Roberts,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q5298462,Dorothy Howell,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q708878,Arthur Caesar,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q3528592,Arthur Hilton,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q709168,Arthur Duarte,64,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q15784146,Artur Hohenberg,60,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q462769,Arthur Lake,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q711994,Arthur Parker Whetsol,61,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q711731,Arthur Treacher,60,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q6990027,Nell Martin,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q383858,Arthur Lange,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4798841,Arthur Goodrich,60,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q27850008,Arthur Howell,86,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q11855185,Charles Correll,60,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q4800130,Arthur Richman,62,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q2865177,Arthur Kober,67,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q19654684,Arthur Ellis,74,,,0
Q503,Arthur Cornwell,Q5,Eureka Stockade,Q709019,Arthur Crabtree,67,,,0
