dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q2959513,Charles Kayser,67,,,0
Q529,Charles Woods,Q146,A Coo-ee From Home,Q2959513,Charles Kayser,67,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q60676636,Charles F. Walton,69,,,0
Q529,Charles Woods,Q146,A Coo-ee From Home,Q60676636,Charles F. Walton,69,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q5686,Charles Dickens,71,,,0
Q529,Charles Woods,Q146,A Coo-ee From Home,Q5686,Charles Dickens,71,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q2960286,Charles Tait,64,,,0
Q529,Charles Woods,Q146,A Coo-ee From Home,Q2960286,Charles Tait,64,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q1124634,Charles Inslee,67,Q3223521,Héros de Mabel,39
Q529,Charles Woods,Q146,A Coo-ee From Home,Q1124634,Charles Inslee,67,Q7124900,Painless Love,26
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q5078322,Charles Gorman,67,Q3986029,The Blue or the Gray,60
Q529,Charles Woods,Q146,A Coo-ee From Home,Q5078322,Charles Gorman,67,Q8852031,Confession,29
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q738864,Charles West,80,Q24258518,For the Son of the House,64
Q529,Charles Woods,Q146,A Coo-ee From Home,Q738864,Charles West,80,Q13460222,Girl Who Came Back,50
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q430893,Charles Kent,64,Q17499688,The Bond of Music,70
Q529,Charles Woods,Q146,A Coo-ee From Home,Q430893,Charles Kent,64,Q3986353,The Collie Market,46
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q1065688,Charles Stanton Ogle,61,Q3986154,The Butler and the Maid,61
Q529,Charles Woods,Q146,A Coo-ee From Home,Q1065688,Charles Stanton Ogle,61,Q403176,A Romance of the Redwoods,56
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q2959664,Charles Lorrain,64,Q56569946,Une femme trop aimante,36
Q529,Charles Woods,Q146,A Coo-ee From Home,Q2959664,Charles Lorrain,64,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q3666370,Charles Craig,62,Q3761515,Getting Even,29
Q529,Charles Woods,Q146,A Coo-ee From Home,Q3666370,Charles Craig,62,Q3986979,Fall of the Romanovs,53
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q2960355,Charles Urban,62,Q4020559,With Our King and Queen Through India,43
Q529,Charles Woods,Q146,A Coo-ee From Home,Q2960355,Charles Urban,62,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q704717,Charles Pathé,64,Q959124,Conquest of the Pole,60
Q529,Charles Woods,Q146,A Coo-ee From Home,Q704717,Charles Pathé,64,Q7739551,The Hidden Hand,36
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q18518940,Charles M. Seay,67,Q20803048,Scenes of Other Days,56
Q529,Charles Woods,Q146,A Coo-ee From Home,Q18518940,Charles M. Seay,67,Q4019320,When Bobby Broke His Arms,42
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q385815,Charles Clary,62,Q3987938,The Law of the North,65
Q529,Charles Woods,Q146,A Coo-ee From Home,Q385815,Charles Clary,62,Q3520386,The Conqueror,52
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q2959860,Charles Mosnier,71,Q3210470,Max and the Maid,41
Q529,Charles Woods,Q146,A Coo-ee From Home,Q2959860,Charles Mosnier,71,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q726089,Charley Chase,62,,,0
Q529,Charles Woods,Q146,A Coo-ee From Home,Q726089,Charley Chase,62,Q21184378,The Cloud-Puncher,46
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q127315,Harold Lockwood,64,Q20803481,The Tie of the Blood,65
Q529,Charles Woods,Q146,A Coo-ee From Home,Q127315,Harold Lockwood,64,Q66681022,Love Me for Myself Alone,52
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q15486517,Charles Sutton,67,,,0
Q529,Charles Woods,Q146,A Coo-ee From Home,Q15486517,Charles Sutton,67,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q3666615,Charles West,80,Q3747877,For His Son,29
Q529,Charles Woods,Q146,A Coo-ee From Home,Q3666615,Charles West,80,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q466626,Charles Magnusson,60,Q6498209,Laughter and Tears,49
Q529,Charles Woods,Q146,A Coo-ee From Home,Q466626,Charles Magnusson,60,Q3013549,Lass from the Stormy Croft,50
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q353238,Charles Kingsley,62,Q5523721,The Sands of Dee,51
Q529,Charles Woods,Q146,A Coo-ee From Home,Q353238,Charles Kingsley,62,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q3666429,Charles Krauss,67,Q8844801,The Gaieties of the Squadron,55
Q529,Charles Woods,Q146,A Coo-ee From Home,Q3666429,Charles Krauss,67,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q15983652,Charles L. Gaskill,60,Q15382968,Vampire of the Desert,55
Q529,Charles Woods,Q146,A Coo-ee From Home,Q15983652,Charles L. Gaskill,60,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q3666583,Charles Raymond,71,Q3990854,Three-Fingered Kate: The Wedding Presents,44
Q529,Charles Woods,Q146,A Coo-ee From Home,Q3666583,Charles Raymond,71,,,0
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q5083137,Charles Villiers,62,Q7751906,"The Moira, or Mystery of the Bush",58
Q529,Charles Woods,Q146,A Coo-ee From Home,Q5083137,Charles Villiers,62,Q4656099,A Coo-ee from Home,100
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q2959009,Charles Eldridge,62,Q17524302,The Adventure of the Ambassador's Disappearance,46
Q529,Charles Woods,Q146,A Coo-ee From Home,Q2959009,Charles Eldridge,62,Q7766022,The Sporting Life,34
Q529,Charles Woods,Q98,The Bondage Of The Bush,Q3127490,Harley Knoles,62,Q1113719,Cleopatra,19
