dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q684,Tal Ordell,Q240,The Kid Stakes,Q12309792,Ella la Cour,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q929838,Paul Kelly,60,Q7753655,The New Klondike,53
Q684,Tal Ordell,Q240,The Kid Stakes,Q470123,Lyda Borelli,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q5338503,Edith Borella,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q1541986,Mia Cordes,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q3051339,Ella Hall,63,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q3876700,Nietta Mordeglia,62,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q389128,Monta Bell,60,Q3986081,The Boy Friend,43
Q684,Tal Ordell,Q240,The Kid Stakes,Q263254,Marie Corelli,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q283076,Rex Taylor,60,Q13459239,Don't Tell the Wife,48
Q684,Tal Ordell,Q240,The Kid Stakes,Q7678712,Tal Ordell,100,Q7744230,The Kid Stakes,100
Q684,Tal Ordell,Q240,The Kid Stakes,Q4944529,Ethel M. Dell,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q85689,Tala Birell,76,Q820831,One Does Not Play with Love,34
Q684,Tal Ordell,Q240,The Kid Stakes,Q5350839,El Brendel,60,Q3940339,Rolled Stockings,40
Q684,Tal Ordell,Q240,The Kid Stakes,Q7964856,Walter Forde,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q3525769,Thomy Bourdelle,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q5364861,Ellen Hall,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q242729,Joan Blondell,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q7308849,Reginald Purdell,62,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q1209692,Tita Merello,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q2499689,Lowell Thomas,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q5640778,Hal Gordon,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q731331,George Pal,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q15458420,Frank Cordell,70,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q36499675,Raúl Deval,63,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q1396115,Paul Diehl,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q1963136,Nada Fiorelli,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q3831512,Lia Corelli,67,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q5515595,Gabriel Dell,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q23683408,Karel Degl,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q1082982,Rina Morelli,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q16624455,Raúl del Valle,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q6080347,Talât Artemel,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q61552,Walter Gotell,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q1416202,Myrna Dell,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q27995558,Ardel Wray,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q3372554,Paula Dehelly,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q1492650,Jorge Mistral,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q270872,Åke Fridell,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q3894272,Paolo Monelli,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q1883535,Mady Correll,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q4580683,Ella Hval,63,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q1602254,Jockel Stahl,64,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q7688203,Tato Bores,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q7793467,Thomas Reilly,61,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q952205,Paul Ford,63,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q346426,Morella,71,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q308459,Rod Taylor,60,,,0
Q684,Tal Ordell,Q240,The Kid Stakes,Q2066108,Stanley Ellin,61,,,0
