dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q516,Brian Kavanagh,Q399,A City's Child,Q5294068,Donald Brian,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q60511707,Katharine Kavanaugh,73,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q710862,Brian Keith,64,Q2080678,Ultimo eroe del West,29
Q516,Brian Kavanagh,Q399,A City's Child,Q531033,Norah Baring,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q17381318,Kaarina Kaarna,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q1350633,Vlasta Burian,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q3335514,Nana Bryant,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q2266226,David Brian,64,Q337835,Sette minuti che contano,42
Q516,Brian Kavanagh,Q399,A City's Child,Q1563651,Katharina Brauren,65,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q727086,Hugh O'Brian,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q7693363,Ted Kavanagh,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q6043120,Nina Briand,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q271885,Marisa Pavan,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q710041,Ian MacNaughton,62,Q16403,And Now for Something Completely Different,32
Q516,Brian Kavanagh,Q399,A City's Child,Q3804799,Ivana Borgia,69,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4008609,Vanna Brosio,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q879616,Björn Granath,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q3571489,Yan Brian,70,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q3181852,John Kavanagh,74,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q1635878,Shane Briant,62,Q1890147,Von Richthofen and Brown,32
Q516,Brian Kavanagh,Q399,A City's Child,Q2408644,Brian Hannant,67,Q5457663,Flashpoint,33
Q516,Brian Kavanagh,Q399,A City's Child,Q4403929,Irina Savina,62,Q4417950,Сестра музыканта,7
Q516,Brian Kavanagh,Q399,A City's Child,Q912067,Brian Deacon,62,Q3523094,The Triple Echo,34
Q516,Brian Kavanagh,Q399,A City's Child,Q4964286,Brian Kavanagh,100,Q4655932,A City's Child,100
Q516,Brian Kavanagh,Q399,A City's Child,Q569003,Brian Eno,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q39141365,Birgit Kragh,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q3156157,Ivan Nagy,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q271288,Sandahl Bergman,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q12628294,Branko Ivanda,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q16017453,Brian King,75,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q15873,Brian May,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4954231,Brad Savage,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q12028927,Kateřina Burianová,65,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4302381,Brian Morgan,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q656924,Brian Tufano,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4685166,Adrian Knight,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q2925041,Brian Young,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q10861530,Zuzana Burianová,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q7292622,Ranganath,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q371495,Brian McNamara,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q662186,Brian Kerwin,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q535567,Vana Barba,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q913284,Brian Yuzna,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4963651,Brian Eastman,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q2852885,Anthony Kavanagh,73,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q3644512,Brian Tarantina,69,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q912547,Brian Levant,69,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q315761,Brian Krause,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q2924955,Brian McKenna,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q12734968,Mariana Buruiană,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q2924881,Brian Donovan,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q723672,Brian O'Halloran,60,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q23893076,Britta Wandaogo,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q372389,Brian Grant,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4963875,Brian Grant,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4964434,Brian Lapping,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q19833061,Adrian Kwan,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q533596,Manon Briand,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q712539,Brian Knobbs,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4964142,Brian Irving,69,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4964545,Brian Lynch,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q1631627,Brian Klugman,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4965313,Brian Sloan,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q534027,Tamara Braun,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q106754,Berivan Kaya,69,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q22639231,Diane Kagan,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q3644473,Brian Koppelman,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q60215801,Joana Bárcia,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q151814,Sarah Brightman,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q56418942,Ariane Kah,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q461290,Brian Van Holt,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q1994600,Noah Bastian,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q28254,Vanessa Branch,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4965113,Brian Regan,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q59635,Randy Savage,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q17612487,Brad Kaaya,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4685264,Adrian Pang,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q3270372,Léna Bréban,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4963857,Brian Godawa,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q2925026,Brian Vainberg,71,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q42419612,Bryan Fabian,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q42419653,Brittany Hixenbaugh,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q23017073,Brian King,75,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q24680991,Arian Ash,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4963754,Brian Flanagan,71,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q1153370,Brian McKnight,71,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q59692905,Jana Brandt,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q5213186,Dan Braun,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q532465,Sanna Bråding,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q202877,Brian Lara,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q9179278,Brian Maya,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q460563,Brian Geraghty,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q984326,Noah Bean,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q10322888,Madalena Brandão,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4963740,Brian Finch,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q8252886,Bruno Vianna,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q7914895,Vanida Imran,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q231541,Briana Evigan,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q151798,Tamannaah Bhatia,60,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q120278,Florian Gaag,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q6096596,Ivan Kavanagh,89,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q932016,Mariana Fabbiani,60,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q64692842,Bryan C. Knight,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q16051634,Kaveh Imani,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4964388,Brian Kuh,70,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q912394,Brian Hyland,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q12022443,Jan Burian,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4963457,Brian Crane,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4964263,Brian Jun,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q17045819,Kaan Girgin,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q5958682,Katyna Huberman,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4965706,Brian Yang,75,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q8250144,Wang Bing,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q717824,Bryant Chang,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q5487095,Frank Hannah,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4963279,Brian Capron,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q6375204,Katarzyna Herman,60,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q3195438,Kerian Mayan,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4971592,Brittany Evans,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q26709261,Bijan Zamani,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q1735875,Katharina Burowa,60,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q74689,Karan Brar,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4965101,Brian Ransom,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q327789,Brian M. Fagan,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4902498,Bianca King,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q16988950,Brian Kesinger,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q16213587,Braden King,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q18044327,Diana Kaarina,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q65116271,Mariano Vanhoof,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q12525054,Yayan Ruhian,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4965737,Briana Lane,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q17310144,Adrian Cranage,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q2673038,Rin Takanashi,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4964444,Brian Larsen,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q17306155,Brian Knappenberger,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q55446642,Kaya Inan,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q16533681,Brian Kavanaugh-Jones,80,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q21725070,Brian Brinkman,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q3085483,Dorian Kingi,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q27862077,Hannah Britland,69,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q3566046,Wang Bing,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q647275,África Zavala,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q16205770,Kevin Bryan,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q42411369,Cassandra Braden,60,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q28730247,Robin Tamang,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4965111,Brian Regan,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q64569353,Brian Misakian,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q5560694,Gilad Kahana,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q12273222,Bilyana Kazakova,60,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q28006848,Brian Leach,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q8968957,Brian Wong,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q20968357,Dan Breitman,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q23007900,Biswa Kalyan Rath,65,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q27758467,Brian Vernel,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q47006108,Bria Vinaite,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q28092115,Jisca Kalvanda,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q86496836,Bianca Oana,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q51884767,Jiang Bian,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q2924879,Brian Cashman,67,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q10833158,Van Trang,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4964884,Brian Nolan,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q22126182,Erika Karata,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q66132677,Brian Law,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q59486194,Brad Kaplan,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q20508057,Vahagn Bagratuni,60,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4916186,Biren Nag,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q4967979,Brij Sadanah,69,Q6376977,Kathputli,35
Q516,Brian Kavanagh,Q399,A City's Child,Q7246473,Priya Rajvansh,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q13085057,Jan Beran,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q1559952,Ramanathan Krishnan,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q8293028,Kang Jianmin,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q2905023,Bizhan Emkanian,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q7929081,Vijanath Biradar,60,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q5356565,Rhydian Vaughan,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q7292621,Ranganath,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q7967364,Wang Bin,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q8980070,Kang Kang,61,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q17198217,John Bryan Evans,60,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q27042024,Brian Malone,62,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q24705118,Brian Davis,64,,,0
Q516,Brian Kavanagh,Q399,A City's Child,Q2924988,Brian Ray,61,,,0
