dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q2959513,Charles Kayser,69,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q2959513,Charles Kayser,69,,,0
Q524,Charles Chauvel,Q343,Jedda,Q2959513,Charles Kayser,69,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q2959513,Charles Kayser,69,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q2959513,Charles Kayser,69,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q2959513,Charles Kayser,69,,,0
Q524,Charles Chauvel,Q288,Heritage,Q2959513,Charles Kayser,69,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q2959513,Charles Kayser,69,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q2959513,Charles Kayser,69,,,0
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q60676636,Charles F. Walton,65,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q60676636,Charles F. Walton,65,,,0
Q524,Charles Chauvel,Q343,Jedda,Q60676636,Charles F. Walton,65,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q60676636,Charles F. Walton,65,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q60676636,Charles F. Walton,65,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q60676636,Charles F. Walton,65,,,0
Q524,Charles Chauvel,Q288,Heritage,Q60676636,Charles F. Walton,65,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q60676636,Charles F. Walton,65,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q60676636,Charles F. Walton,65,,,0
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q5686,Charles Dickens,67,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q5686,Charles Dickens,67,,,0
Q524,Charles Chauvel,Q343,Jedda,Q5686,Charles Dickens,67,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q5686,Charles Dickens,67,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q5686,Charles Dickens,67,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q5686,Charles Dickens,67,,,0
Q524,Charles Chauvel,Q288,Heritage,Q5686,Charles Dickens,67,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q5686,Charles Dickens,67,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q5686,Charles Dickens,67,,,0
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q128460,Charles Perrault,71,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q128460,Charles Perrault,71,,,0
Q524,Charles Chauvel,Q343,Jedda,Q128460,Charles Perrault,71,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q128460,Charles Perrault,71,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q128460,Charles Perrault,71,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q128460,Charles Perrault,71,,,0
Q524,Charles Chauvel,Q288,Heritage,Q128460,Charles Perrault,71,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q128460,Charles Perrault,71,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q128460,Charles Perrault,71,,,0
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q76937260,Carl Scheel Vandel,61,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q76937260,Carl Scheel Vandel,61,,,0
Q524,Charles Chauvel,Q343,Jedda,Q76937260,Carl Scheel Vandel,61,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q76937260,Carl Scheel Vandel,61,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q76937260,Carl Scheel Vandel,61,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q76937260,Carl Scheel Vandel,61,,,0
Q524,Charles Chauvel,Q288,Heritage,Q76937260,Carl Scheel Vandel,61,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q76937260,Carl Scheel Vandel,61,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q76937260,Carl Scheel Vandel,61,,,0
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q2960286,Charles Tait,67,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q2960286,Charles Tait,67,,,0
Q524,Charles Chauvel,Q343,Jedda,Q2960286,Charles Tait,67,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q2960286,Charles Tait,67,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q2960286,Charles Tait,67,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q2960286,Charles Tait,67,,,0
Q524,Charles Chauvel,Q288,Heritage,Q2960286,Charles Tait,67,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q2960286,Charles Tait,67,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q2960286,Charles Tait,67,,,0
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q3309213,Michel Carré,62,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q3309213,Michel Carré,62,Q21428035,Tentation,20
Q524,Charles Chauvel,Q343,Jedda,Q3309213,Michel Carré,62,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q3309213,Michel Carré,62,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q3309213,Michel Carré,62,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q3309213,Michel Carré,62,,,0
Q524,Charles Chauvel,Q288,Heritage,Q3309213,Michel Carré,62,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q3309213,Michel Carré,62,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q3309213,Michel Carré,62,,,0
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q1124634,Charles Inslee,62,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q1124634,Charles Inslee,62,,,0
Q524,Charles Chauvel,Q343,Jedda,Q1124634,Charles Inslee,62,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q1124634,Charles Inslee,62,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q1124634,Charles Inslee,62,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q1124634,Charles Inslee,62,,,0
Q524,Charles Chauvel,Q288,Heritage,Q1124634,Charles Inslee,62,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q1124634,Charles Inslee,62,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q1124634,Charles Inslee,62,,,0
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q5078322,Charles Gorman,62,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q5078322,Charles Gorman,62,,,0
Q524,Charles Chauvel,Q343,Jedda,Q5078322,Charles Gorman,62,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q5078322,Charles Gorman,62,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q5078322,Charles Gorman,62,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q5078322,Charles Gorman,62,,,0
Q524,Charles Chauvel,Q288,Heritage,Q5078322,Charles Gorman,62,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q5078322,Charles Gorman,62,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q5078322,Charles Gorman,62,,,0
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q738864,Charles West,67,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q738864,Charles West,67,,,0
Q524,Charles Chauvel,Q343,Jedda,Q738864,Charles West,67,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q738864,Charles West,67,Q3989055,The Road to Yesterday,46
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q738864,Charles West,67,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q738864,Charles West,67,,,0
Q524,Charles Chauvel,Q288,Heritage,Q738864,Charles West,67,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q738864,Charles West,67,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q738864,Charles West,67,Q3989055,Empreinte du passé,31
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q430893,Charles Kent,67,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q430893,Charles Kent,67,,,0
Q524,Charles Chauvel,Q343,Jedda,Q430893,Charles Kent,67,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q430893,Charles Kent,67,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q430893,Charles Kent,67,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q430893,Charles Kent,67,,,0
Q524,Charles Chauvel,Q288,Heritage,Q430893,Charles Kent,67,,,0
Q524,Charles Chauvel,Q319,The Rats Of Tobruk,Q430893,Charles Kent,67,,,0
Q524,Charles Chauvel,Q236,Greenhide,Q430893,Charles Kent,67,,,0
Q524,Charles Chauvel,Q314,Forty Thousand Horsemen,Q2959664,Charles Lorrain,60,,,0
Q524,Charles Chauvel,Q292,Uncivilised,Q2959664,Charles Lorrain,60,,,0
Q524,Charles Chauvel,Q343,Jedda,Q2959664,Charles Lorrain,60,,,0
Q524,Charles Chauvel,Q225,The Moth Of Moonbi,Q2959664,Charles Lorrain,60,,,0
Q524,Charles Chauvel,Q330,Sons Of Matthew,Q2959664,Charles Lorrain,60,,,0
Q524,Charles Chauvel,Q273,In The Wake Of The Bounty,Q2959664,Charles Lorrain,60,Q3206572,The Beautiful Sailor,44
Q524,Charles Chauvel,Q288,Heritage,Q2959664,Charles Lorrain,60,,,0
