dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q744402,James Young,67,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q7681531,Tammany Young,70,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q23009950,W. W. Young,63,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q13502738,Hal Young,74,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q253384,Loretta Young,61,Q3511835,"Brother, Can You Spare a Dime?",41
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q7086573,Olga Grey,63,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q3270709,Léon Bary,67,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q3127658,Harold Young,73,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q2278569,Waldemar Young,67,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q5666835,Harry Agar Lyons,62,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q3342510,Noah Young,70,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q131545,Harry Houdini,61,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q66823619,Anthony Young,70,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q3181645,John Grey,63,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q3395384,Polly Ann Young,64,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q4648245,A. P. Younger,67,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q1371212,Roland Young,64,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q275483,Joan Barry,60,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q3296226,Mary Nolan,60,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q3574213,Yvonne Legeay,61,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q965659,Freddie Young,61,Q2322427,Seme del tamarindo,38
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q365199,Victor Young,64,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q2960808,Charley Young,78,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q516390,Robert Young,64,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q49121255,Yvonne Garat,64,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q356057,Robert Young,64,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q2939081,Carleton Young,67,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q14633510,Garry Owen,70,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q3259602,Lorna Gray,60,,,0
Q565,Gary Young,Q449,"Nuts, Bolts And Bedroom Springs",Q151307,Arthur Young,73,,,0
