dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q578,Harry Watt,Q327,Eureka Stockade,Q2197385,Harry Solter,64,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q2197385,Harry Solter,64,,,0
Q578,Harry Watt,Q324,The Overlanders,Q2197385,Harry Solter,64,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q918741,Harry Todd,70,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q918741,Harry Todd,70,,,0
Q578,Harry Watt,Q324,The Overlanders,Q918741,Harry Todd,70,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q3127929,Harry T. Morey,61,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q3127929,Harry T. Morey,61,,,0
Q578,Harry Watt,Q324,The Overlanders,Q3127929,Harry T. Morey,61,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q3445834,Roy Watson,60,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q3445834,Roy Watson,60,,,0
Q578,Harry Watt,Q324,The Overlanders,Q3445834,Roy Watson,60,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q78402,Harry Piel,60,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q78402,Harry Piel,60,,,0
Q578,Harry Watt,Q324,The Overlanders,Q78402,Harry Piel,60,Q15226280,Man in the Saddle,50
Q578,Harry Watt,Q327,Eureka Stockade,Q3132996,Henry Otto,60,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q3132996,Henry Otto,60,,,0
Q578,Harry Watt,Q324,The Overlanders,Q3132996,Henry Otto,60,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q18418266,Harry Lambart,70,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q18418266,Harry Lambart,70,,,0
Q578,Harry Watt,Q324,The Overlanders,Q18418266,Harry Lambart,70,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q3870718,Nate Watt,63,Q2528652,Arch of Triumph,20
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q3870718,Nate Watt,63,Q5447246,Fiend of Dope Island,34
Q578,Harry Watt,Q324,The Overlanders,Q3870718,Nate Watt,63,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q5670193,Harry Keenan,64,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q5670193,Harry Keenan,64,,,0
Q578,Harry Watt,Q324,The Overlanders,Q5670193,Harry Keenan,64,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q15864741,Harry Wulze,67,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q15864741,Harry Wulze,67,,,0
Q578,Harry Watt,Q324,The Overlanders,Q15864741,Harry Wulze,67,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q3946332,Sam Hardy,63,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q3946332,Sam Hardy,63,,,0
Q578,Harry Watt,Q324,The Overlanders,Q3946332,Sam Hardy,63,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q84340,Harry Liedtke,61,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q84340,Harry Liedtke,61,,,0
Q578,Harry Watt,Q324,The Overlanders,Q84340,Harry Liedtke,61,,,0
Q578,Harry Watt,Q327,Eureka Stockade,Q1421677,Harry O. Hoyt,64,,,0
Q578,Harry Watt,Q355,The Siege Of Pinchgut,Q1421677,Harry O. Hoyt,64,,,0
Q578,Harry Watt,Q324,The Overlanders,Q1421677,Harry O. Hoyt,64,,,0
