dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q568,George Cornwell,Q5,Eureka Stockade,Q1334556,George B. Cortelyou,73,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q1504408,Georg Furkel,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q3102599,Georges Denola,62,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q28355939,Georges Dorival,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q3760436,George Barnes,71,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5538111,George Cooper,71,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q18580575,George L. Cox,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q3101419,George Beranger,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5406844,George Field,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q3110113,Goldie Colwell,69,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q3760493,George Foley,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q3048483,Edward Connelly,60,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q1506837,George Ade,64,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q1507339,George Field,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q357552,George Fawcett,62,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q181816,George Formby,64,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q467093,George Dewey,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q4647125,A. E. George,64,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q7079912,Ogden Crane,62,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5538014,George Cochrane Hazelton,62,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q41795561,George Cowl,85,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q329176,George J. Folsey,60,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5536879,George Bellamy,69,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q563017,George M. Cohan,69,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q15864623,Burton George,64,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q263254,Marie Corelli,64,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q3102310,Georges Biscot,62,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q15996466,Melbourne MacDowell,65,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5536547,George B. French,60,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q721897,George Barnes,71,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5537933,George Clark,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q1691366,Joe Connelly,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q983406,Georges Carpentier,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q6990645,Nelson McDowell,60,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5536937,George Berrell,76,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q658804,George Bellamy,69,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q182229,George Arliss,64,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5535942,George A. Cooper,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q17350047,George R. Batcheller,65,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5536481,George Atkinson,60,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5537850,George Chesebro,60,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q1009495,George O'Brien,62,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q2425613,George Campbell,73,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q86593,George Froeschel,65,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q3102455,Georges Charensol,69,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q1124735,George Brent,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q3102458,Georges Charlia,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q618616,George Bancroft,60,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q3102629,Georges Douking,60,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q741482,George Bancroft,60,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5538628,George Dromgold,60,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q5536676,George Banfield,67,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q18542999,George Crone,81,,,0
Q568,George Cornwell,Q5,Eureka Stockade,Q20811104,Cornelius Keefe,60,,,0
