dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q615,Lawson Harris,Q197,A Daughter Of Australia,Q464889,Herbert Rawlinson,60,Q20649269,One Wonderful Night,38
Q615,Lawson Harris,Q199,Sunshine Sally,Q464889,Herbert Rawlinson,60,Q3844215,Man Under Cover,34
Q615,Lawson Harris,Q194,Circumstance,Q464889,Herbert Rawlinson,60,Q3844215,Man Under Cover,44
Q615,Lawson Harris,Q197,A Daughter Of Australia,Q1379040,James Harrison,67,Q3602511,A Heart to Let,43
Q615,Lawson Harris,Q199,Sunshine Sally,Q1379040,James Harrison,67,Q28498243,Lessons in Love,34
Q615,Lawson Harris,Q194,Circumstance,Q1379040,James Harrison,67,Q28498243,Lessons in Love,30
Q615,Lawson Harris,Q197,A Daughter Of Australia,Q3161137,James Harrison,67,Q18071579,Wedding Bells,22
Q615,Lawson Harris,Q199,Sunshine Sally,Q3161137,James Harrison,67,Q18071579,Wedding Bells,37
Q615,Lawson Harris,Q194,Circumstance,Q3161137,James Harrison,67,Q18071579,Wedding Bells,16
Q615,Lawson Harris,Q197,A Daughter Of Australia,Q466626,Charles Magnusson,60,Q1193655,Phantom Carriage,41
Q615,Lawson Harris,Q199,Sunshine Sally,Q466626,Charles Magnusson,60,Q1193655,Körkarlen (stumfilm),39
Q615,Lawson Harris,Q194,Circumstance,Q466626,Charles Magnusson,60,Q1193655,Charrette fantôme,43
Q615,Lawson Harris,Q197,A Daughter Of Australia,Q21469896,Harry Linson,72,,,0
Q615,Lawson Harris,Q199,Sunshine Sally,Q21469896,Harry Linson,72,,,0
Q615,Lawson Harris,Q194,Circumstance,Q21469896,Harry Linson,72,,,0
Q615,Lawson Harris,Q197,A Daughter Of Australia,Q19544942,Charles Lakin,62,,,0
Q615,Lawson Harris,Q199,Sunshine Sally,Q19544942,Charles Lakin,62,,,0
Q615,Lawson Harris,Q194,Circumstance,Q19544942,Charles Lakin,62,,,0
Q615,Lawson Harris,Q197,A Daughter Of Australia,Q3714291,Doris Pawn,61,Q3613485,Always the Woman,41
Q615,Lawson Harris,Q199,Sunshine Sally,Q3714291,Doris Pawn,61,Q1922615,The Penalty,48
Q615,Lawson Harris,Q194,Circumstance,Q3714291,Doris Pawn,61,Q63802231,Strange Idols,48
Q615,Lawson Harris,Q197,A Daughter Of Australia,Q634150,Charles Lane,64,Q3645187,Rosa di Broadway,36
Q615,Lawson Harris,Q199,Sunshine Sally,Q634150,Charles Lane,64,Q3739902,Fascination,40
Q615,Lawson Harris,Q194,Circumstance,Q634150,Charles Lane,64,Q3739902,Fascination,35
Q615,Lawson Harris,Q197,A Daughter Of Australia,Q35983954,Charles Løwaas,62,,,0
Q615,Lawson Harris,Q199,Sunshine Sally,Q35983954,Charles Løwaas,62,,,0
Q615,Lawson Harris,Q194,Circumstance,Q35983954,Charles Løwaas,62,,,0
Q615,Lawson Harris,Q197,A Daughter Of Australia,Q2305010,Harrison Ford,62,Q3602511,A Heart to Let,43
Q615,Lawson Harris,Q199,Sunshine Sally,Q2305010,Harrison Ford,62,Q18071579,Wedding Bells,37
