dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q686,Terry Bourke,Q443,Plugg,Q18086746,Peter Courtney,62,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q18086746,Peter Courtney,62,,,0
Q686,Terry Bourke,Q408,Night Of Fear,Q18086746,Peter Courtney,62,,,0
Q686,Terry Bourke,Q443,Plugg,Q7104078,Orrie Perry,70,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q7104078,Orrie Perry,70,,,0
Q686,Terry Bourke,Q408,Night Of Fear,Q7104078,Orrie Perry,70,,,0
Q686,Terry Bourke,Q443,Plugg,Q7169721,Perry Banks,61,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q7169721,Perry Banks,61,,,0
Q686,Terry Bourke,Q408,Night Of Fear,Q7169721,Perry Banks,61,,,0
Q686,Terry Bourke,Q443,Plugg,Q446444,Alice Terry,61,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q446444,Alice Terry,61,,,0
Q686,Terry Bourke,Q408,Night Of Fear,Q446444,Alice Terry,61,,,0
Q686,Terry Bourke,Q443,Plugg,Q241966,Ellen Terry,61,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q241966,Ellen Terry,61,,,0
Q686,Terry Bourke,Q408,Night Of Fear,Q241966,Ellen Terry,61,,,0
Q686,Terry Bourke,Q443,Plugg,Q1257500,Terry McGovern,62,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q1257500,Terry McGovern,62,,,0
Q686,Terry Bourke,Q408,Night Of Fear,Q1257500,Terry McGovern,62,,,0
Q686,Terry Bourke,Q443,Plugg,Q504484,Peter Burke,78,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q504484,Peter Burke,78,,,0
Q686,Terry Bourke,Q408,Night Of Fear,Q504484,Peter Burke,78,,,0
Q686,Terry Bourke,Q443,Plugg,Q3900826,Peter Burke,78,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q3900826,Peter Burke,78,,,0
Q686,Terry Bourke,Q408,Night Of Fear,Q3900826,Peter Burke,78,,,0
Q686,Terry Bourke,Q443,Plugg,Q1787033,Tyler Brooke,67,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q1787033,Tyler Brooke,67,,,0
Q686,Terry Bourke,Q408,Night Of Fear,Q1787033,Tyler Brooke,67,,,0
Q686,Terry Bourke,Q443,Plugg,Q927985,Paul Terry,64,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q927985,Paul Terry,64,,,0
Q686,Terry Bourke,Q408,Night Of Fear,Q927985,Paul Terry,64,,,0
Q686,Terry Bourke,Q443,Plugg,Q7704934,Terry Ramsaye,64,,,0
Q686,Terry Bourke,Q448,Inn Of The Damned,Q7704934,Terry Ramsaye,64,,,0
