dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q5548878,Gerald Ames,64,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q3012449,Dallas M. Fitzgerald,79,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q5122265,Cissy Fitzgerald,73,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q4819110,Aubrey Fitzgerald,77,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q290666,Barry Fitzgerald,80,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q93354,F. Scott Fitzgerald,81,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q7964835,Walter Fitzgerald,71,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q236396,Geraldine Fitzgerald,65,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q1768,Ella Fitzgerald,83,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q5549176,Gerald Gibbs,62,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q7507794,Sid Field,61,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q5549424,Gerald Moss,64,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q426049,John Fitzgerald,76,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q1995154,Gerald Kersh,62,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q5549581,Gerald Sim,67,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q7407462,Sam Field,61,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q22276911,Gerald Ayres,62,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q5549650,Gerald W. Abrams,62,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q17628486,Dan Fitzgerald,86,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q3237290,Lewis Fitz-Gerald,77,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q5549457,Gerald Olson,62,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q450198,Fern Fitzgerald,76,,,0
Q676,S. A. Fitzgerald,Q8,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",Q3376569,Peter Fitzgerald,73,,,0
